time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.03864753264e-07,2.85579749297e-07,10.0063048654,0.000240766214482,0.000550530228706,0.0,-6.46211749264e-05,2.49620997763e-05,0.210146301673,0.0110257219668,0.0230856924075,0.0,469.7471957398197,471.5335834012409,470.0382062372501,470.8916773308737
0.12000000000000001,-2.20269616581e-05,1.10673226706e-05,10.0225831603,0.00189585516959,0.0014792676829,0.0,-0.000772875283305,0.000468931257626,0.332434952677,0.0488056578989,-0.00756075730224,0.0,445.1519727735126,442.6374614816794,442.50726626994077,445.6060672585102
0.18,-0.000100139049468,9.36892860226e-05,10.0472105404,0.00484896470292,0.00147003959881,0.0,-0.00180862922455,0.00260938002613,0.48842247819,0.0500313595396,0.0116011199002,0.0,454.0149174929472,455.5494949635189,454.08263965211063,454.1823885722567
0.23999999999999996,-0.000248194554838,0.000384036874463,10.0835764999,0.00801486922583,0.0021813857282,0.0,-0.00321224448945,0.0074451587419,0.723654362855,0.0577359282605,0.0123602601522,0.0,478.37861516479944,478.4362749531504,477.6455554986082,478.2342748255432
0.3,-0.000494774876991,0.00103221268016,10.1325750872,0.0117466752978,0.00287686899253,0.0,-0.00508928310768,0.0145737195804,0.909498160076,0.0698847964706,0.010007527398,0.0,464.6097660383506,464.4251645420489,462.8174948793849,463.7751524867251
0.36000000000000004,-0.000873761260306,0.00221484359302,10.1940887674,0.0160428812617,0.00358366761398,0.0,-0.00762263073636,0.0253604404679,1.14074878415,0.074834738927,0.0151080574527,0.0,477.5035724783632,477.89233109022166,477.3182947709193,477.6994046936107
0.4200000000000001,-0.00141975711843,0.00413550724154,10.2685265804,0.0204119306053,0.00431382140997,0.0,-0.0106728674929,0.0391755280768,1.34028941687,0.0684451153041,0.00552660459049,0.0,469.27398212867763,468.5296046713585,468.84796500077204,468.3551233931844
0.48000000000000015,-0.00215015232589,0.00691872638557,10.3516940652,0.0249790815694,0.00521279619317,0.0,-0.013739867095,0.0540362626894,1.43183922766,0.0882056984413,0.0292178035536,0.0,434.60391962042814,436.5848500613739,435.6966099225981,437.3499842052234
0.5400000000000001,-0.00309442349364,0.0107191407811,10.4414258477,0.0307171790706,0.00761910082779,0.0,-0.0179617859783,0.0732277990607,1.55903724809,0.107410371415,0.0559293365286,0.0,445.0726781321115,447.25408096051393,448.1510831666613,449.7167505314967
0.6000000000000002,-0.00433247458428,0.0157313463585,10.5366685989,0.0376924480736,0.0115811026192,0.0,-0.0236608047887,0.0944882410111,1.61561693024,0.129764532974,0.0809968375282,0.0,424.72495844264483,426.87257289017947,424.15364468916397,426.0814164929573
0.6600000000000003,-0.00603573552641,0.0222891620734,10.6386401218,0.0455665467344,0.0166003361757,0.0,-0.033665561725,0.124972428194,1.78314256444,0.134021780869,0.0884960968825,0.0,460.14748710683597,460.7461479805107,460.4914035544168,460.8431481218654
0.7200000000000003,-0.00842267811403,0.0307701485421,10.7488157086,0.0544100931573,0.0219594114958,0.0,-0.0464456429119,0.158595449224,1.88915149734,0.165730006163,0.0909118074745,0.0,441.27824684395927,441.4843151625988,441.731563052629,444.3581023242918
